doc_id,label,category,year,text,split,source,journalTitle,doi,pubType
39145034_MED,d,MCI,2024,Alzheimer s disease stage recognition MRI PET imaging data using Pareto optimal quantum dynamic optimization threat posed Alzheimer s disease AD human health grown significantly precise diagnosis classification AD stages remain challenge Neuroimaging methods structural magnetic resonance imaging sMRI fluorodeoxyglucose positron emission tomography FDG PET used diagnose categorize AD feature selection approaches frequently used extract additional data multimodal imaging prone errors paper suggests using static pulse coupled neural network Laplacian pyramid combine sMRI FDG PET data fused images used train Mobile Vision Transformer MViT optimized Pareto Optimal Quantum Dynamic Optimization Neural Architecture Search fused images augmented avoid overfitting classify unfused,train,MED,,10.1016/j.heliyon.2024.e34402,
40868268_MED,d,MCI,2025,Deep Learning Approach Alzheimer s Diagnosis Using EEG Data Dual Attention Optuna Optimized SVM b Background Objectives b Alzheimer s disease AD progressive neurodegenerative disorder pathologically defined accumulation amyloid plaques tau related neurofibrillary tangles brain represents principal driver cognitive deterioration middle aged elderly populations Early diagnosis pharmacological management disease markedly improve quality duration life b Methods b Electroencephalography EEG critical detecting analyzing Alzheimer s disease widespread use mobile EEG devices recent years necessitated real time effective data processing extracting disease specific features EEG data poses significant challenge especially cases completed quickly study aims determine frequency bands associated Alzheimer s disease,train,MED,,10.3390/biomedicines13082017,
41068341_MED,d,MCI,2025,Machine learning based estimation mild cognitive impairment stage using multimodal physical behavioral measures Mild cognitive impairment MCI prodromal stage dementia early detection critical improving clinical outcomes current diagnostic tools brain magnetic resonance imaging MRI neuropsychological testing limited accessibility scalability Using machine learning models aimed evaluate multimodal physical behavioral measures specifically gait characteristics body mass composition sleep parameters serve digital biomarkers estimating MCI severity recruited 80 patients diagnosed MCI classified early late stage groups based Mini Mental State Examination scores Participants underwent clinical assessments including Consortium Establish Registry Alzheimer s Disease Assessment Packet Korean Version gait analysis using GAITRite body composition,train,MED,,10.1038/s41598-025-19364-1,
39736681_MED,e,Lewy body dementia,2024,Scrutinizing neurodegenerative diseases decoding complex genetic architectures multi omics lens Neurodegenerative diseases present complex genetic architectures reflecting continuum monogenic oligogenic polygenic models Recent advances multi omics data coupled systems genetics significantly refined understanding data impact neurodegenerative disease mechanisms contextualize genetic discoveries provide comprehensive critical overview genetic architecture concepts Mendelian inheritance latest insights oligogenic omnigenic models explore roles common rare genetic variants gene gene gene environment interactions epigenetic influences shaping disease phenotypes Additionally emphasize importance multi omics layers including genomic transcriptomic proteomic epigenetic metabolomic data elucidating molecular mechanisms underlying neurodegeneration Special attention given missing heritability contribution rare variants particularly context pleiotropy,train,MED,,10.1186/s40246-024-00704-7,
41001154_MED,d,MCI,2025,Mapping research landscape Mild Cognitive Impairment Parkinson s disease bibliometric visualization analysis h4 Background h4 Mild Cognitive Impairment Parkinson s disease common non motor symptom Parkinson s disease significantly impacts individuals quality life predicts dementia risk underscoring clinical research importance study aimed characterize global bibliometric landscape identify research hotspots knowledge gaps future trends PD MCI field past decades using bibliometric visualization methods h4 Methods h4 Literature related PD MCI published 2005 2024 retrieved Web Science Core Collection database Tools CiteSpace VOSviewer employed visual analysis annual publication volume country institutional distribution author collaborations journal citations keyword occurrence bursts constructing knowledge maps,train,MED,,10.3389/fnagi.2025.1624420,
39995515_MED,c,Vascular dementia,2025,QUIET WARRIOR Rationale design ancillary study Women s IschemiA TRial Reduce Events Nonobstructive CAD WARRIOR h4 Background h4 Cardiovascular disease leading cause death women predominantly ischemic heart disease IHD notable deficiency therapies tailored IHD women present variable symptoms delay diagnosis treatment cases coronary angiography does reveal obstructive coronary artery disease CAD despite increased risk major adverse cardiac events MACE compared sex age matched asymptomatic cohorts h4 Objectives h4 Women s IschemiA TRial Reduce Events Nonobstructive CAD WARRIOR evaluates intensive medical treatment women Ischemia Obstructive Coronary Arteries INOCA QUIET WARRIOR sub study aims improve predictive tools adverse outcomes detailed analysis Coronary,train,MED,,10.1016/j.ahjo.2025.100508,
41005987_MED,a,Alzheimer,2025,Low Cost 3D Printed Mazes Open Source ML Tracking Mouse Behavior Behavioral neuroscience research requires substantial financial investment specialized equipment software creating barriers new investigators limiting flexibility established laboratories study explores 3D printing machine learning combined reduce startup operational costs maintaining research quality Using 3D printing designed manufactured mouse T maze elevated plus maze assess cognition anxiety like behaviors male mice custom built mazes demonstrated comparable efficacy commercial alternatives offering greater affordability scalability customization complement hardware integrated machine learning automated tracking analysis mouse behavior achieving accuracy equivalent commercial solutions experienced human scoring significantly reduced cost combining 3D printing machine learning,train,MED,,10.1523/eneuro.0141-25.2025,
40807108_MED,b,Parkinson,2025,Large Language Models Adverse Drug Events Clinical Perspective Adverse drug events ADEs significantly impact patient safety health outcomes Manual ADE detection clinical narratives time consuming labor intensive costly Recent advancements large language models LLMs including transformer based architectures Bidirectional Encoder Representations Transformers BERT Generative Pretrained Transformer GPT series offer promising methods automating ADE extraction clinical data models applied various aspects pharmacovigilance clinical decision support demonstrating potential extracting ADE related information real world clinical data Additionally chatbot assisted systems explored tools clinical management aiding medication adherence patient engagement symptom monitoring narrative review synthesizes current state LLMs ADE detection clinical perspective organizing,train,MED,,10.3390/jcm14155490,
36148658_MED,c,Vascular dementia,2022,Willis Lecture Biomarkers Inflammatory White Matter Injury Binswanger Disease Provide Pathways Precision Medicine Binswanger disease small vessel form vascular cognitive impairment dementia Deposition Alzheimer disease proteins begin midlife progress slowly aging vasculature begin midlife continuing progress old age making mixed dementia common type dementia Biomarkers facilitate early diagnosis dementias possible diagnose mixed dementia autopsy biomarkers vascular disease derived diffusor tensor images magnetic resonance imaging Alzheimer disease proteins amyloid phosphorylated tau cerebrospinal fluid brain positron emission tomography presence vascular disease accelerates cognitive decline misfolded proteins vascular disease promote inflammation detected cerebrospinal fluid presence MMPs matrix metalloproteinases angiogenic growth factors cytokines MMPs,train,MED,,10.1161/strokeaha.122.039211,
39266669_MED,c,Vascular dementia,2024,motive cocktail altruistic behaviors Prosocial motives social equality efficiency key altruistic behaviors predicting range altruistic behaviors varying contexts individuals proves challenging limit motives demonstrate numerous interdependent motives altruistic behaviors possibility disentangle behavioral experimental data computational modeling laboratory experiment N 157 preregistered online replication N 1 258 100 different situations party punishment party helping behaviors unaffected individual punishes transgressor helps victim aligned best model seven socioeconomic motives referred motive cocktail instance inequality discounting motives imply individuals confronted costly interventions behave inequality barely exists motive cocktail model provides unified explanation differences intervention willingness second parties victims parties punishment helping,train,MED,,10.1038/s43588-024-00685-6,
