doc_id,label,category,year,text,split,source,journalTitle,doi,pubType
41130534_MED,d,MCI,2025,Aging active player Alzheimer s disease classification Insights feature selection BrainAge models h4 Background h4 BrainAge models estimate biological age,train,MED,,10.1016/j.neuroimage.2025.121548,
41240282_MED,d,MCI,2025,Multi marker discovery mild cognitive impairment metabolomics using machine learning global surrogate model partial squares h4 Introduction h4 Dementia prevented,train,MED,,10.1007/s11306-025-02372-7,
41148189_MED,d,MCI,2025,Diagnostic utility speech based biomarkers mild cognitive impairment systematic review meta analysis h4 Background h4 various tools developed mild cognitive,train,MED,,10.1093/ageing/afaf316,
37993458_MED,e,Lewy body dementia,2023,shot prediction amyloid accumulation mainly unpaired data biomarker candidates pair wise observation input target values obtained sample mandatory prediction problem,train,MED,,10.1038/s41540-023-00321-5,
40567778_MED,d,MCI,2025,Classification stages Alzheimer s disease based dimensional lightweight neural networks Alzheimer s disease neurodegenerative disease seriously threatens life health elderly,train,MED,,10.7717/peerj-cs.2897,
39250700_MED,c,Vascular dementia,2024,Exposure angiotensin converting enzyme inhibitors cross blood brain barrier risk dementia people HIV h4 Background h4 decreased mortality people HIV,train,MED,,10.1097/qad.0000000000004009,
41155106_MED,a,Alzheimer,2025,NeuroNet AD Multimodal Deep Learning Framework Multiclass Alzheimer s Disease Diagnosis Alzheimer s disease AD prevalent form dementia disease significantly,train,MED,,10.3390/bioengineering12101107,
40863007_MED,b,Parkinson,2025,Review Machine Learning Assisted Gas Sensor Arrays Medical Diagnosis Volatile organic compounds VOCs present human exhaled breath emerged promising biomarkers,train,MED,,10.3390/bios15080548,
40860138_MED,c,Vascular dementia,2025,Intermittent fasting reprograms brain proteome prevent synaptic degeneration cognitive impairment vascular dementia b Rationale b Vascular dementia VaD driven chronic,train,MED,,10.7150/thno.119422,
40800914_MED,c,Vascular dementia,2025,dependence lt sub gt 2 lt sub gt cerebrovascular reactivity CVR caffeine Cerebrovascular reactivity CVR represents important marker brain vascular,train,MED,,10.1162/imag.a.103,
